iter	Passed	Remaining
0	7	78664
1	13	67199
2	17	59639
3	21	53562
4	26	52366
5	30	50706
6	35	50624
7	38	48598
8	42	47705
9	46	46313
10	50	45495
11	53	44916
12	57	44456
13	61	43807
14	65	43549
15	69	43539
16	75	44089
17	78	43754
18	83	43640
19	86	43253
20	90	43006
21	94	42875
22	98	42531
23	102	42486
24	105	42108
25	108	41725
26	112	41579
27	117	41802
28	121	41933
29	126	41930
30	132	42644
31	139	43358
32	143	43304
33	147	43109
34	150	42943
35	154	42676
36	160	43172
37	164	43172
38	169	43391
39	174	43423
40	178	43356
41	182	43356
42	186	43186
43	190	43129
44	195	43243
45	199	43186
46	204	43205
47	207	43104
48	212	43169
49	217	43189
50	222	43459
51	226	43406
52	230	43304
53	234	43161
54	238	43081
55	241	42944
56	245	42811
57	249	42712
58	253	42685
59	256	42527
60	260	42430
61	263	42249
62	266	42067
63	270	41921
64	273	41842
65	277	41816
66	281	41682
67	283	41443
68	287	41322
69	290	41239
70	293	41029
71	296	40876
72	299	40782
73	303	40649
74	306	40592
75	310	40488
76	314	40498
77	317	40373
78	321	40378
79	324	40298
80	328	40212
81	331	40119
82	335	40120
83	339	40129
84	343	40124
85	347	40087
86	352	40165
87	356	40177
88	360	40167
89	364	40139
90	368	40139
91	372	40147
92	376	40121
93	380	40056
94	383	39951
95	387	39942
96	390	39903
97	394	39902
98	398	39825
99	402	39847
100	406	39793
101	409	39701
102	412	39594
103	415	39507
104	418	39449
105	422	39412
106	425	39353
107	429	39304
108	431	39197
109	435	39129
110	438	39080
111	441	38989
112	445	38972
113	448	38886
114	451	38818
115	456	38891
116	460	38877
117	464	38870
118	467	38839
119	471	38793
120	474	38746
121	479	38848
122	482	38779
123	486	38772
124	490	38719
125	493	38677
126	497	38706
127	502	38730
128	506	38740
129	509	38694
130	513	38679
131	518	38756
132	522	38790
133	526	38753
134	529	38718
135	533	38677
136	536	38622
137	539	38542
138	543	38536
139	552	38892
140	556	38944
141	562	39030
142	564	38920
143	568	38899
144	571	38848
145	574	38796
146	578	38750
147	581	38686
148	583	38583
149	586	38510
150	589	38469
151	592	38413
152	596	38410
153	600	38421
154	604	38380
155	607	38347
156	616	38658
157	620	38663
158	625	38699
159	628	38674
160	632	38654
161	636	38639
162	639	38620
163	643	38615
164	647	38606
165	651	38587
166	654	38557
167	658	38560
168	662	38527
169	665	38471
170	668	38452
171	672	38413
172	676	38399
173	679	38350
174	682	38311
175	686	38308
176	689	38276
177	693	38251
178	696	38220
179	700	38205
180	704	38200
181	711	38386
182	714	38346
183	718	38321
184	722	38324
185	726	38348
186	730	38317
187	733	38269
188	736	38246
189	740	38231
190	745	38284
191	749	38291
192	753	38287
193	756	38240
194	759	38173
195	762	38121
196	765	38088
197	768	38058
198	771	37999
199	774	37962
200	778	37952
201	781	37891
202	784	37872
203	788	37850
204	790	37789
205	793	37738
206	797	37707
207	799	37644
208	803	37647
209	807	37621
210	811	37631
211	814	37605
212	817	37571
213	821	37561
214	824	37538
215	829	37581
216	833	37566
217	837	37576
218	841	37572
219	843	37498
220	846	37442
221	848	37359
222	850	37269
223	851	37172
224	853	37096
225	856	37049
226	859	37023
227	864	37047
228	867	37000
229	869	36945
230	872	36917
231	875	36876
232	879	36856
233	882	36831
234	886	36835
235	890	36832
236	894	36840
237	897	36814
238	901	36799
239	905	36833
240	908	36798
241	912	36796
242	917	36855
243	920	36818
244	924	36812
245	928	36828
246	933	36868
247	936	36838
248	939	36799
249	942	36761
250	944	36678
251	948	36704
252	951	36662
253	954	36616
254	957	36575
255	959	36526
256	963	36531
257	967	36518
258	970	36484
259	972	36439
260	976	36432
261	989	36795
262	995	36838
263	999	36853
264	1002	36838
265	1006	36828
266	1010	36819
267	1012	36785
268	1015	36744
269	1019	36723
270	1022	36722
271	1026	36706
272	1030	36716
273	1034	36712
274	1038	36712
275	1041	36682
276	1043	36638
277	1047	36639
278	1051	36632
279	1055	36648
280	1059	36640
281	1063	36648
282	1066	36629
283	1070	36627
284	1074	36630
285	1077	36606
286	1081	36615
287	1086	36624
288	1089	36619
289	1093	36611
290	1097	36633
291	1102	36641
292	1105	36630
293	1109	36629
294	1113	36629
295	1117	36634
296	1121	36628
297	1124	36624
298	1128	36604
299	1132	36603
300	1136	36627
301	1139	36604
302	1144	36612
303	1147	36601
304	1150	36578
305	1154	36578
306	1158	36571
307	1162	36567
308	1165	36559
309	1168	36533
310	1172	36532
311	1177	36559
312	1185	36684
313	1188	36660
314	1192	36657
315	1195	36651
316	1199	36635
317	1203	36653
318	1208	36675
319	1212	36681
320	1215	36664
321	1219	36662
322	1223	36661
323	1228	36677
324	1231	36658
325	1234	36632
326	1237	36616
327	1241	36612
328	1245	36603
329	1249	36615
330	1253	36617
331	1257	36618
332	1262	36641
333	1265	36632
334	1270	36643
335	1273	36630
336	1276	36612
337	1280	36606
338	1284	36612
339	1288	36612
340	1292	36598
341	1297	36627
342	1301	36630
343	1305	36636
344	1309	36634
345	1313	36647
346	1317	36652
347	1320	36637
348	1324	36628
349	1327	36605
350	1332	36627
351	1335	36609
352	1338	36591
353	1342	36583
354	1345	36563
355	1349	36564
356	1352	36532
357	1355	36508
358	1359	36496
359	1362	36486
360	1365	36467
361	1369	36458
362	1376	36533
363	1380	36554
364	1385	36582
365	1389	36575
366	1392	36559
367	1397	36577
368	1400	36553
369	1404	36550
370	1408	36555
371	1411	36538
372	1416	36547
373	1419	36533
374	1423	36523
375	1427	36525
376	1430	36505
377	1434	36525
